trade_id,symbol,trade_date,side,quantity,trade_price
T1001,AAPL,4/1/26,BUY,100,223.5
T1002,AAPL,4/1/26,SELL,50,224.1
T1003,MSFT,4/1/26,BUY,75,378.2
T1004,MSFT,4/1/26,SELL,30,377.8
T1005,GOOGL,4/1/26,BUY,40,151.6
T1006,GOOGL,4/1/26,SELL,20,152.1
T1007,AMZN,4/1/26,BUY,25,182.75
T1008,AMZN,4/1/26,SELL,10,183.2
T1009,NVDA,4/1/26,BUY,60,920.5
T1010,NVDA,4/1/26,SELL,20,918.75
T1011,AAPL,4/2/26,BUY,120,225
T1012,MSFT,4/2/26,BUY,80,380.1
T1013,GOOGL,4/2/26,SELL,35,153
T1014,AMZN,4/2/26,BUY,50,185.4
T1015,NVDA,4/2/26,SELL,25,925.6
T1016,AAPL,4/3/26,SELL,90,226.3
T1017,MSFT,4/3/26,BUY,60,382
T1018,GOOGL,4/3/26,BUY,45,154.2
T1019,AMZN,4/3/26,SELL,30,186.75
T1020,NVDA,4/3/26,BUY,40,930.1
