trade_id,symbol,trade_date,business_date,side,quantity,trade_price,market_close_price,open,high,low,volume,abs_price_diff,pct_price_diff,recon_status,exception_reason,severity,review_action,source_system,processed_timestamp,assigned_queue
T1001,AAPL,2026-04-01,2026-04-01,BUY,100,223.5,255.63,254.08,256.18,253.33,40059432.0,32.129999999999995,12.568947306654147,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1002,AAPL,2026-04-01,2026-04-01,SELL,50,224.1,255.63,254.08,256.18,253.33,40059432.0,31.53,12.334233071235772,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1003,MSFT,2026-04-01,2026-04-01,BUY,75,378.2,369.37,373.49,373.99,368.2,29417206.0,8.829999999999984,2.390556894171152,TOLERANCE_WARNING,Trade price differs from market price within warning range,MEDIUM,Review pricing source and trade details,INTERNAL_TRADES,2026-04-13 01:07:20,Standard Operations Queue
T1004,MSFT,2026-04-01,2026-04-01,SELL,30,377.8,369.37,373.49,373.99,368.2,29417206.0,8.430000000000007,2.2822643961339595,TOLERANCE_WARNING,Trade price differs from market price within warning range,MEDIUM,Review pricing source and trade details,INTERNAL_TRADES,2026-04-13 01:07:20,Standard Operations Queue
T1005,GOOGL,2026-04-01,2026-04-01,BUY,40,151.6,297.39,290.835,300.52,290.41,37684462.0,145.79,49.02316823027002,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1006,GOOGL,2026-04-01,2026-04-01,SELL,20,152.1,297.39,290.835,300.52,290.41,37684462.0,145.29,48.855038837889644,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1007,AMZN,2026-04-01,2026-04-01,BUY,25,182.75,210.57,210.435,213.58,208.19,45955395.0,27.819999999999993,13.211758560098778,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1008,AMZN,2026-04-01,2026-04-01,SELL,10,183.2,210.57,210.435,213.58,208.19,45955395.0,27.370000000000005,12.998052904022417,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1009,NVDA,2026-04-01,2026-04-01,BUY,60,920.5,175.75,176.0,177.37,174.75,168132005.0,744.75,423.75533428165005,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1010,NVDA,2026-04-01,2026-04-01,SELL,20,918.75,175.75,176.0,177.37,174.75,168132005.0,743.0,422.75960170697016,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1011,AAPL,2026-04-02,2026-04-02,BUY,120,225.0,255.92,254.2,256.13,250.65,31289369.0,30.919999999999987,12.0819005939356,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1012,MSFT,2026-04-02,2026-04-02,BUY,80,380.1,373.46,367.205,373.64,364.15,24099067.0,6.640000000000043,1.7779681893643344,TOLERANCE_WARNING,Trade price differs from market price within warning range,MEDIUM,Review pricing source and trade details,INTERNAL_TRADES,2026-04-13 01:07:20,Standard Operations Queue
T1013,GOOGL,2026-04-02,2026-04-02,SELL,35,153.0,295.77,290.69,298.08,289.45,21666465.0,142.76999999999998,48.27061568110356,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1014,AMZN,2026-04-02,2026-04-02,BUY,50,185.4,209.77,206.54,212.2125,204.9,31453039.0,24.370000000000005,11.61748581780045,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1015,NVDA,2026-04-02,2026-04-02,SELL,25,925.6,177.39,172.18,177.49,171.37,143143157.0,748.21,421.7881504030667,PRICE_BREAK,Trade price differs materially from market price,HIGH,Escalate to operations review,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1016,AAPL,2026-04-03,2026-04-03,SELL,90,226.3,,,,,,,,MARKET_DATA_MISSING,No market reference price for symbol/date,HIGH,Review symbol/date and refresh market data,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1017,MSFT,2026-04-03,2026-04-03,BUY,60,382.0,,,,,,,,MARKET_DATA_MISSING,No market reference price for symbol/date,HIGH,Review symbol/date and refresh market data,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1018,GOOGL,2026-04-03,2026-04-03,BUY,45,154.2,,,,,,,,MARKET_DATA_MISSING,No market reference price for symbol/date,HIGH,Review symbol/date and refresh market data,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1019,AMZN,2026-04-03,2026-04-03,SELL,30,186.75,,,,,,,,MARKET_DATA_MISSING,No market reference price for symbol/date,HIGH,Review symbol/date and refresh market data,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
T1020,NVDA,2026-04-03,2026-04-03,BUY,40,930.1,,,,,,,,MARKET_DATA_MISSING,No market reference price for symbol/date,HIGH,Review symbol/date and refresh market data,INTERNAL_TRADES,2026-04-13 01:07:20,Priority Operations Queue
