symbol,date,open,high,low,market_close_price,volume
AAPL,2026-04-01,254.08,256.18,253.33,255.63,40059432
AAPL,2026-04-02,254.2,256.13,250.65,255.92,31289369
AMZN,2026-04-01,210.435,213.58,208.19,210.57,45955395
AMZN,2026-04-02,206.54,212.2125,204.9,209.77,31453039
GOOGL,2026-04-01,290.835,300.52,290.41,297.39,37684462
GOOGL,2026-04-02,290.69,298.08,289.45,295.77,21666465
MSFT,2026-04-01,373.49,373.99,368.2,369.37,29417206
MSFT,2026-04-02,367.205,373.64,364.15,373.46,24099067
NVDA,2026-04-01,176.0,177.37,174.75,175.75,168132005
NVDA,2026-04-02,172.18,177.49,171.37,177.39,143143157
